id,original_name,generated_name,authors,year,name,journal
127,Emotional Attachment,Emotional Attachment,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
128,Perceived Diagnosticity,Perceived Diagnosticity,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
129,Intention to Use Avatar,Intention to Use an Avatar,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
130,Self-Satisfaction,Self Satisfaction,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
131,Negative Reaction to Scanning,Negative Reaction to Scanning,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
132,Perceived Ease of Use,Perceived Ease of Use,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
133,Shopping Experience,Shopping Experience,"Kil-Soo Suh, Hongki Kim, and Eung Kyo Suh",2011,What If Your Avatar Looks Like You? Dual-Congruity Perspectives for Avatar Use,MIS Quarterly
134,Social Awareness,Social Awareness,"Lakshmi Goel, Norman A. Johnson, Iris Junglas, and Blake Ives",2011,From Space to Place: Predicting Users? Intentions to Return to Virtual Worlds,MIS Quarterly
135,Location Awareness,Location Awareness,"Lakshmi Goel, Norman A. Johnson, Iris Junglas, and Blake Ives",2011,From Space to Place: Predicting Users? Intentions to Return to Virtual Worlds,MIS Quarterly
136,Task Awareness,Task Awareness,"Lakshmi Goel, Norman A. Johnson, Iris Junglas, and Blake Ives",2011,From Space to Place: Predicting Users? Intentions to Return to Virtual Worlds,MIS Quarterly
137,Cognitive Absorption,Cognitive Absorption,"Lakshmi Goel, Norman A. Johnson, Iris Junglas, and Blake Ives",2011,From Space to Place: Predicting Users? Intentions to Return to Virtual Worlds,MIS Quarterly
138,Intention to Return,Intention to Return,"Lakshmi Goel, Norman A. Johnson, Iris Junglas, and Blake Ives",2011,From Space to Place: Predicting Users? Intentions to Return to Virtual Worlds,MIS Quarterly
139,Interactivity,Interactivity,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
140,Sociability,Sociability,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
141,Density,Population Density,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
142,Stability,Population Stability,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
143,Telepresence,Telepresence,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
144,Social Presence,Social Presence,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
145,Flow,Flow,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
146,Intention to Purchase,Intention to Purchase,"Animesh Animesh, Alain Pinsonneault, Sung-Byung Yang, and Wonseok Oh",2011,An Odyssey into Virtual Worlds: Exploring the Impacts of Technological and Spatial Environments,MIS Quarterly
147,Work Overload,Work Overload,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
148,Work Home Conflict,Work Home Conflict,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
149,Invasion of Privacy,Invasion of Privacy,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
150,Role Ambiguity,Role Ambiguity,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
151,Strain,Strain,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
152,Usefulness,Usefulness,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
153,Complexity,Technological Complexity,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
154,Reliability,Reliability,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
155,Presenteeism,Presenteeism,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
156,Anonymity,Anonymity,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
157,Pace of Change,Pace of Change,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
158,Job Insecurity,Job Insecurity,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
159,Negative Affectivity,Negative Affectivity,"Ramakrishna Ayyagari, Varun Grover, and Russell Purvis",2011,Technostress: Technological Antecedents and Implications,MIS Quarterly
160,Quality of PPRs,Quality of Personalized Product Recommendations,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
161,Website Knowledge,Website Knowledge,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
162,Product Evaluation Cost,Product Evaluation Cost,"Tongxiao (Catherine) Zhang, Ritu Agarwal, and Henry C. Lucas, Jr.",2011,The Value of IT-Enabled Retailer Learning: Personalized Product Recommendations and Customer Store Loyalty in Electronic Markets,MIS Quarterly
